Executando Fernandes MODIFICADO
Rodando pra 1h
Optimize a model with 10072 rows, 14922 columns and 366073 nonzeros
Coefficient statistics:
  Matrix range    [1e+00, 1e+07]
  Objective range [3e-01, 7e-01]
  Bounds range    [1e+00, 1e+07]
  RHS range       [1e+00, 1e+02]
Found heuristic solution: objective 5074
Presolve removed 49 rows and 14 columns
Presolve time: 0.29s
Presolved: 10023 rows, 14908 columns, 128609 nonzeros
Variable types: 9900 continuous, 5008 integer (5006 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   16903    3.2737243e+01   8.645681e+02   0.000000e+00      5s
   28816    3.6412468e+01   0.000000e+00   0.000000e+00      8s

Root relaxation: objective 3.641247e+01, 28816 iterations, 7.79 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
   166   154 1487.50000  125  105 4134.70000 1479.80000  64.2%  1628  368s
   167   154 1487.82618  126   97 4134.70000 1479.80000  64.2%  1647  370s
   170   156 1488.20000  128  107 4134.70000 1479.80000  64.2%  1696  376s
   171   156 1489.27211  128   95 4134.70000 1479.80000  64.2%  1770  382s
   173   157 1489.30306  129   98 4134.70000 1479.80000  64.2%  1820  387s
   175   158 1488.30515  131   95 4134.70000 1479.80000  64.2%  1845  391s
   178   160 1488.90000  133  102 4134.70000 1479.80000  64.2%  1877  396s
   179   161 1488.90000  133   98 4134.70000 1479.80000  64.2%  1935  402s
   180   161 1488.95501  134   97 4134.70000 1479.80000  64.2%  1962  406s
   181   161 1492.21262  134   97 4134.70000 1479.80000  64.2%  2041  411s
   183   163 1489.60000  136   96 4134.70000 1479.80000  64.2%  2100  417s
   184   164 1489.60000  136   96 4134.70000 1479.80000  64.2%  2151  422s
   185   164 1489.97254  137   97 4134.70000 1479.80000  64.2%  2176  425s
   189   166 1492.04989  139   97 4134.70000 1479.80000  64.2%  2272  435s
   191   166 1490.31112  140   98 4134.70000 1479.80000  64.2%  2369  443s
   193   168 1491.00000  142   98 4134.70000 1479.80000  64.2%  2386  447s
   194   169 1491.00000  143   96 4134.70000 1479.80000  64.2%  2427  451s
   196   169 1491.44736  144   95 4134.70000 1479.80000  64.2%  2456  455s
   199   170 1492.05161  146   99 4134.70000 1479.80000  64.2%  2534  465s
   200   170 1492.61014  146   93 4134.70000 1479.80000  64.2%  2588  470s
   202   172 1492.40000  148  102 4134.70000 1479.80000  64.2%  2601  475s
   204   172 1494.99600  149   95 4134.70000 1479.80000  64.2%  2664  481s
   206   173 1494.15265  151   97 4134.70000 1479.80000  64.2%  2702  487s
   208   175 1494.50000  153  101 4134.70000 1479.80000  64.2%  2712  491s
   209   175 1496.20766  153   92 4134.70000 1479.80000  64.2%  2777  497s
   210   175 1494.59176  154   94 4134.70000 1479.80000  64.2%  2788  500s
   213   177 1495.20000  156   99 4134.70000 1479.80000  64.2%  2832  506s
   215   178 1499.25219  157   94 4134.70000 1479.80000  64.2%  2857  510s
   217   179 1497.56337  158   89 4134.70000 1479.80000  64.2%  2890  515s
   220   180 1498.48709  160   97 4134.70000 1479.80000  64.2%  2918  521s
   222   181 1496.10373  162   91 4134.70000 1479.80000  64.2%  2949  528s
   223   181 1496.64177  162   93 4134.70000 1479.80000  64.2%  3019  534s
   224   182 1496.60000  163   87 4134.70000 1479.80000  64.2%  3008  535s
   226   183 1496.63045  165   91 4134.70000 1479.80000  64.2%  3023  540s
   227   183 1497.08107  165   94 4134.70000 1479.80000  64.2%  3055  545s
   230   185 1499.01893  167   90 4134.70000 1479.80000  64.2%  3076  550s
   232   185 1498.06165  168   93 4134.70000 1479.80000  64.2%  3132  558s
   234   187 1498.00000  170   93 4134.70000 1479.80000  64.2%  3139  561s
   235   187 1498.29269  171   88 4134.70000 1479.80000  64.2%  3167  565s
   238   189 1498.70000  173   92 4134.70000 1479.80000  64.2%  3184  571s
   239   189 1501.19919  173   87 4134.70000 1479.80000  64.2%  3242  577s
   240   189 1498.78775  174   86 4134.70000 1479.80000  64.2%  3256  580s
   244   192 1499.40000  177   89 4134.70000 1479.80000  64.2%  3285  588s
   245   192 1499.87362  178   87 4134.70000 1479.80000  64.2%  3301  591s
   246   192 1515.93180  178   90 4134.70000 1479.80000  64.2%  3341  595s
   249   195 1502.19926  180   85 4134.70000 1479.80000  64.2%  3385  603s
   250   195 1500.28246  181   86 4134.70000 1479.80000  64.2%  3405  606s
   253   196 1501.06848  183   84 4134.70000 1479.80000  64.2%  3437  614s
   254   196 1501.00965  183   89 4134.70000 1479.80000  64.2%  3476  620s
   257   198 1504.28355  185   84 4134.70000 1479.80000  64.2%  3541  629s
   258   199 1501.50000  186   86 4134.70000 1479.80000  64.2%  3533  630s
   260   199 1502.75881  187   84 4134.70000 1479.80000  64.2%  3550  635s
   262   201 1502.20000  189   86 4134.70000 1479.80000  64.2%  3567  641s
   264   201 1503.44918  190   87 4134.70000 1479.80000  64.2%  3589  646s
   267   203 1506.05349  192   88 4134.70000 1479.80000  64.2%  3626  653s
   268   204 1502.90000  193   92 4134.70000 1479.80000  64.2%  3635  656s
   270   205 1505.59587  194   88 4134.70000 1479.80000  64.2%  3647  660s
   272   205 1505.88742  195   86 4134.70000 1479.80000  64.2%  3681  666s
   274   207 1503.60000  197   98 4134.70000 1479.80000  64.2%  3677  670s
   278   210 1509.79859  201   88 4134.70000 1479.80000  64.2%  3665  676s
   280   211 1503.74531  202   90 4134.70000 1479.80000  64.2%  3669  680s
   283   213 1504.30000  204   97 4134.70000 1479.80000  64.2%  3691  686s
   284   213 1507.22199  204   83 4134.70000 1479.80000  64.2%  3740  692s
   285   213 1505.68870  205   86 4134.70000 1479.80000  64.2%  3760  696s
   288   215 1504.30568  207   89 4134.70000 1479.80000  64.2%  3766  702s
   290   216 1505.00000  208   86 4134.70000 1479.80000  64.2%  3766  705s
   292   217 1509.27949  209   87 4134.70000 1479.80000  64.2%  3817  712s
   294   218 1507.45489  210   86 4134.70000 1479.80000  64.2%  3840  717s
   296   220 1505.00000  212   93 4134.70000 1479.80000  64.2%  3838  720s
   300   222 1505.70000  215   94 4134.70000 1479.80000  64.2%  3848  727s
   302   222 1508.61357  216   88 4134.70000 1479.80000  64.2%  3863  731s
   304   224 1506.40000  218   89 4134.70000 1479.80000  64.2%  3892  739s
   305   224 1510.33619  219   88 4134.70000 1479.80000  64.2%  3892  740s
   309   226 1512.39866  221   86 4134.70000 1479.80000  64.2%  3923  748s
   310   226 1511.10529  222   86 4134.70000 1479.80000  64.2%  3923  750s
   313   227 1511.84097  224   86 4134.70000 1479.80000  64.2%  3958  758s
   314   227 1511.78889  224   86 4134.70000 1479.80000  64.2%  3986  763s
   316   228 1512.09341  226   87 4134.70000 1479.80000  64.2%  4003  769s
   317   228 1513.85491  226   83 4134.70000 1479.80000  64.2%  4036  774s
   319   230 1512.70000  228   94 4134.70000 1479.80000  64.2%  4022  777s
   321   231 1514.01816  229   86 4134.70000 1479.80000  64.2%  4029  781s
   323   231 1513.58684  230   84 4134.70000 1479.80000  64.2%  4055  786s
   325   232 1528.17242  232   85 4134.70000 1479.80000  64.2%  4069  791s
   326   232 1513.67497  232   85 4134.70000 1479.80000  64.2%  4100  797s
   328   234 1514.10000  234   87 4134.70000 1479.80000  64.2%  4098  801s
   330   235 1514.52009  236   84 4134.70000 1479.80000  64.2%  4107  808s
   331   235 1515.03897  236   83 4134.70000 1479.80000  64.2%  4116  810s
   333   236 1515.12487  238   83 4134.70000 1479.80000  64.2%  4140  817s
   334   237 1514.80000  238   88 4134.70000 1479.80000  64.2%  4149  820s
   338   239 1515.50000  241   88 4134.70000 1479.80000  64.2%  4156  828s
   339   240 1515.50000  242   87 4134.70000 1479.80000  64.2%  4155  830s
   343   241 1516.30047  245   81 4134.70000 1479.80000  64.2%  4180  840s
   345   243 1516.20000  246   85 4134.70000 1479.80000  64.2%  4189  845s
   348   244 1518.38622  248   87 4134.70000 1479.80000  64.2%  4221  851s
   351   245 1520.54628  250   80 4134.70000 1479.80000  64.2%  4239  860s
   352   245 1518.06088  250   84 4134.70000 1479.80000  64.2%  4265  868s
   354   247 1518.30000  252   83 4134.70000 1479.80000  64.2%  4254  870s
   356   247 1518.33584  253   85 4134.70000 1479.80000  64.2%  4279  876s
   359   249 1519.00000  255   91 4134.70000 1479.80000  64.2%  4285  881s
   361   250 1519.00000  256   84 4134.70000 1479.80000  64.2%  4303  885s
   363   250 1520.45139  257   79 4134.70000 1479.80000  64.2%  4325  890s
   366   252 1522.93617  259   79 4134.70000 1479.80000  64.2%  4331  895s
   367   252 1519.82007  260   80 4134.70000 1479.80000  64.2%  4350  900s
   369   253 1520.40000  261   77 4134.70000 1479.80000  64.2%  4357  905s
   371   254 1520.69513  263   81 4134.70000 1479.80000  64.2%  4366  911s
   374   255 1521.16436  265   80 4134.70000 1479.80000  64.2%  4395  922s
   375   255 1523.35384  265   78 4134.70000 1479.80000  64.2%  4419  926s
   378   257 1524.23982  267   77 4134.70000 1479.80000  64.2%  4443  934s
   379   258 1521.80000  268   83 4134.70000 1479.80000  64.2%  4438  935s
   381   259 1521.80000  269   82 4134.70000 1479.80000  64.2%  4458  940s
   383   260 1522.81940  270   78 4134.70000 1479.80000  64.2%  4474  945s
   389   263 1522.62812  275   79 4134.70000 1479.80000  64.2%  4442  950s
   392   265 1523.20000  277   85 4134.70000 1479.80000  64.2%  4449  955s
   396   267 1524.25791  281   80 4134.70000 1479.80000  64.2%  4463  965s
   399   268 1525.33499  283   79 4134.70000 1479.80000  64.2%  4502  974s
   400   269 1524.60000  283   85 4134.70000 1479.80000  64.2%  4499  976s
   402   270 1526.22262  284   78 4134.70000 1479.80000  64.2%  4515  981s
   404   270 1525.08039  285   77 4134.70000 1479.80000  64.2%  4535  986s
   407   272 1526.87073  287   75 4134.70000 1479.80000  64.2%  4543  996s
   410   274 1526.56370  289   79 4134.70000 1479.80000  64.2%  4543 1001s
   412   274 1525.33953  290   80 4134.70000 1479.80000  64.2%  4559 1006s
   416   277 1526.41725  294   76 4134.70000 1479.80000  64.2%  4546 1012s
   419   279 1526.70000  296   81 4134.70000 1479.80000  64.2%  4554 1019s
   420   279 1526.99724  297   77 4134.70000 1479.80000  64.2%  4561 1021s
   423   280 1527.63912  299   80 4134.70000 1479.80000  64.2%  4582 1030s
   424   280 1529.81973  299   74 4134.70000 1479.80000  64.2%  4612 1035s
   428   283 1529.98864  302   80 4134.70000 1479.80000  64.2%  4607 1041s
   430   284 1543.98671  303   76 4134.70000 1479.80000  64.2%  4617 1045s
   432   284 1528.78332  304   78 4134.70000 1479.80000  64.2%  4636 1051s
   434   285 1529.03914  306   79 4134.70000 1479.80000  64.2%  4656 1058s
   435   285 1533.11564  306   77 4134.70000 1479.80000  64.2%  4684 1062s
   438   287 1546.75733  308   74 4134.70000 1479.80000  64.2%  4690 1067s
   440   287 1530.63058  309   78 4134.70000 1479.80000  64.2%  4707 1076s
   443   289 1530.95854  312   75 4134.70000 1479.80000  64.2%  4693 1080s
   446   291 1531.60235  314   74 4134.70000 1479.80000  64.2%  4716 1089s
   447   291 1533.41088  314   74 4134.70000 1479.80000  64.2%  4740 1093s
   449   293 1533.70000  316   74 4134.70000 1479.80000  64.2%  4752 1100s
   451   293 1538.67521  317   76 4134.70000 1479.80000  64.2%  4769 1105s
   453   294 1534.59424  319   72 4134.70000 1479.80000  64.2%  4780 1110s
   456   295 1535.72026  321   72 4134.70000 1479.80000  64.2%  4816 1120s
   457   295 1535.77826  321   73 4134.70000 1479.80000  64.2%  4839 1125s
   459   296 1535.93945  323   71 4134.70000 1479.80000  64.2%  4842 1132s
   460   296 1540.71102  323   71 4134.70000 1479.80000  64.2%  4863 1136s
   462   298 1536.50000  325   73 4134.70000 1479.80000  64.2%  4863 1143s
   463   298 1539.53121  325   74 4134.70000 1479.80000  64.2%  4885 1147s
   465   298 1538.81192  326   71 4134.70000 1479.80000  64.2%  4899 1151s
   467   299 1537.54681  328   73 4134.70000 1479.80000  64.2%  4915 1158s
   468   299 1541.85266  328   72 4134.70000 1479.80000  64.2%  4936 1162s
   470   301 1537.90000  330   75 4134.70000 1479.80000  64.2%  4920 1180s
   472   302 1537.90000  331   77 4134.70000 1479.80000  64.2%  4938 1187s
   474   303 1542.10265  332   73 4134.70000 1479.80000  64.2%  4945 1191s
   478   306 1541.98998  335   71 4134.70000 1479.80000  64.2%  4947 1198s
   479   306 1538.88600  336   76 4134.70000 1479.80000  64.2%  4952 1200s
   482   307 1545.21440  338   75 4134.70000 1479.80000  64.2%  4968 1208s
   483   308 1539.30000  338   74 4134.70000 1479.80000  64.2%  4973 1211s
   486   309 1543.17998  340   72 4134.70000 1479.80000  64.2%  4982 1217s
   488   310 1540.05161  342   72 4134.70000 1479.80000  64.2%  4988 1222s
   489   310 1554.72155  342   72 4134.70000 1479.80000  64.2%  5004 1225s
   494   314 1540.70000  346   79 4134.70000 1479.80000  64.2%  4990 1231s
   496   314 1541.51338  347   74 4134.70000 1479.80000  64.2%  4997 1235s
   499   316 1545.27659  349   71 4134.70000 1479.80000  64.2%  5020 1243s
   500   316 1541.83014  350   72 4134.70000 1479.80000  64.2%  5020 1245s
   503   317 1542.48275  352   74 4134.70000 1479.80000  64.2%  5031 1253s
   504   317 1556.49393  352   72 4134.70000 1479.80000  64.2%  5049 1256s
   507   319 1544.38904  355   74 4134.70000 1479.80000  64.2%  5045 1260s
   510   320 1543.75052  357   74 4134.70000 1479.80000  64.2%  5046 1266s
   513   322 1544.20000  359   76 4134.70000 1479.80000  64.2%  5059 1275s
   515   322 1546.10193  360   72 4134.70000 1479.80000  64.2%  5066 1280s
   518   323 1546.60167  362   71 4134.70000 1479.80000  64.2%  5078 1287s
   520   324 1545.87616  364   71 4134.70000 1479.80000  64.2%  5083 1292s
   521   324 1547.88731  364   71 4134.70000 1479.80000  64.2%  5096 1295s
   523   325 1547.43544  366   72 4134.70000 1479.80000  64.2%  5101 1300s
   526   326 1547.96960  368   71 4134.70000 1479.80000  64.2%  5112 1308s
   527   326 1548.78609  368   72 4134.70000 1479.80000  64.2%  5121 1311s
   530   328 1548.75107  371   70 4134.70000 1479.80000  64.2%  5115 1316s
   533   329 1550.30703  373   68 4134.70000 1479.80000  64.2%  5120 1322s
   534   329 1550.02611  373   69 4134.70000 1479.80000  64.2%  5131 1326s
   536   330 1551.10073  375   67 4134.70000 1479.80000  64.2%  5135 1330s
   539   332 1551.77411  377   68 4134.70000 1479.80000  64.2%  5136 1336s
   542   333 1551.95234  379   70 4134.70000 1479.80000  64.2%  5137 1342s
   544   334 1552.60000  380   68 4134.70000 1479.80000  64.2%  5141 1345s
   546   335 1552.72106  382   70 4134.70000 1479.80000  64.2%  5145 1350s
   550   338 1553.30000  385   68 4134.70000 1479.80000  64.2%  5140 1356s
   552   338 1559.14509  386   64 4134.70000 1479.80000  64.2%  5165 1361s
   555   339 1554.40246  387   66 4134.70000 1479.80000  64.2%  5162 1366s
   558   340 1554.97731  389   65 4134.70000 1479.80000  64.2%  5170 1373s
   560   342 1555.40000  391   68 4134.70000 1479.80000  64.2%  5158 1375s
   563   343 1555.52414  393   67 4134.70000 1479.80000  64.2%  5162 1380s
   566   345 1556.80062  395   66 4134.70000 1479.80000  64.2%  5177 1388s
   567   345 1561.53332  395   65 4134.70000 1479.80000  64.2%  5185 1390s
   571   346 1557.66537  398   65 4134.70000 1479.80000  64.2%  5173 1395s
   574   347 1558.46497  400   64 4134.70000 1479.80000  64.2%  5196 1403s
   575   347 1559.57333  400   66 4134.70000 1479.80000  64.2%  5207 1406s
   578   349 1559.47634  403   67 4134.70000 1479.80000  64.2%  5200 1412s
   579   349 1562.94795  403   64 4134.70000 1479.80000  64.2%  5214 1415s
   581   350 1560.36064  405   64 4134.70000 1479.80000  64.2%  5220 1420s
   584   352 1561.00000  407   67 4134.70000 1479.80000  64.2%  5220 1425s
   586   353 1561.00000  408   66 4134.70000 1479.80000  64.2%  5243 1430s
   590   354 1565.52356  411   69 4134.70000 1479.80000  64.2%  5264 1441s
   591   354 1577.83117  411   63 4134.70000 1479.80000  64.2%  5286 1445s
   594   355 1584.43336  413   65 4134.70000 1479.80000  64.2%  5294 1451s
   597   357 1576.58970  416   66 4134.70000 1479.80000  64.2%  5294 1457s
   598   357 1569.76321  416   67 4134.70000 1479.80000  64.2%  5307 1460s
   600   358 1576.26332  418   66 4134.70000 1479.80000  64.2%  5312 1466s
   601   358 1570.51688  418   68 4134.70000 1479.80000  64.2%  5333 1472s
   603   359 1572.58469  420   65 4134.70000 1479.80000  64.2%  5344 1479s
   604   359 1574.48822  420   67 4134.70000 1479.80000  64.2%  5362 1483s
   606   360 1584.11239  422   64 4134.70000 1479.80000  64.2%  5373 1487s
   608   361 1584.80000  423   66 4134.70000 1479.80000  64.2%  5378 1490s
   610   362 1585.49034  424   64 4134.70000 1479.80000  64.2%  5385 1495s
   612   362 1585.54271  425   63 4134.70000 1479.80000  64.2%  5394 1500s
   615   364 1587.90048  427   66 4134.70000 1479.80000  64.2%  5397 1506s
   616   364 1586.76550  428   63 4134.70000 1479.80000  64.2%  5403 1513s
   617   364 1587.92223  428   61 4134.70000 1479.80000  64.2%  5415 1516s
   619   365 1587.03808  430   63 4134.70000 1479.80000  64.2%  5414 1521s
   621   366 1587.60000  431   61 4134.70000 1479.80000  64.2%  5416 1527s
   623   368 1587.60000  433   64 4134.70000 1479.80000  64.2%  5412 1530s
   626   370 1587.60000  435   62 4134.70000 1479.80000  64.2%  5413 1535s
   629   370 1589.56007  436   64 4134.70000 1479.80000  64.2%  5431 1542s
   633   373 1590.24253  439   65 4134.70000 1479.80000  64.2%  5422 1546s
   636   375 1588.30000  441   67 4134.70000 1479.80000  64.2%  5420 1550s
   639   376 1591.30384  443   64 4134.70000 1479.80000  64.2%  5419 1556s
   643   380 1589.00000  447   68 4134.70000 1479.80000  64.2%  5400 1560s
   645   380 1589.61929  448   64 4134.70000 1479.80000  64.2%  5417 1566s
   648   382 1589.70000  450   66 4134.70000 1479.80000  64.2%  5411 1570s
   650   383 1591.52821  451   65 4134.70000 1479.80000  64.2%  5414 1576s
   654   385 1594.39594  454   63 4134.70000 1479.80000  64.2%  5413 1582s
   657   388 1590.40000  457   65 4134.70000 1479.80000  64.2%  5401 1585s
   660   389 1590.46253  459   65 4134.70000 1479.80000  64.2%  5402 1591s
   663   391 1591.10000  461   67 4134.70000 1479.80000  64.2%  5399 1595s
   664   391 1592.81339  461   64 4134.70000 1479.80000  64.2%  5414 1600s
   668   394 1591.20853  464   63 4134.70000 1479.80000  64.2%  5405 1605s
   671   396 1591.80000  466   61 4134.70000 1479.80000  64.2%  5404 1610s
   673   397 1597.46467  468   63 4134.70000 1479.80000  64.2%  5414 1616s
   676   399 1597.97791  469   62 4134.70000 1479.80000  64.2%  5410 1622s
   678   400 1598.62176  470   62 4134.70000 1479.80000  64.2%  5425 1627s
   680   402 1591.80000  472   64 4134.70000 1479.80000  64.2%  5420 1630s
   682   402 1592.93530  473   63 4134.70000 1479.80000  64.2%  5422 1638s
   685   405 1592.50000  476   64 4134.70000 1479.80000  64.2%  5405 1640s
   689   408 1592.50000  479   64 4134.70000 1479.80000  64.2%  5401 1645s
   691   408 1600.08651  480   63 4134.70000 1479.80000  64.2%  5430 1652s
   693   409 1592.76440  481   62 4134.70000 1479.80000  64.2%  5425 1655s
   697   411 1595.55062  483   63 4134.70000 1479.80000  64.2%  5429 1661s
   699   412 1597.53600  484   62 4134.70000 1479.80000  64.2%  5439 1665s
   702   414 1596.29696  487   61 4134.70000 1479.80000  64.2%  5442 1671s
   705   415 1598.94387  488   61 4134.70000 1479.80000  64.2%  5451 1677s
   708   417 1596.75412  490   63 4134.70000 1479.80000  64.2%  5452 1682s
   710   418 1601.56351  491   62 4134.70000 1479.80000  64.2%  5459 1686s
   713   420 1596.23775  493   62 4134.70000 1479.80000  64.2%  5461 1691s
   717   422 1596.28116  496   63 4134.70000 1479.80000  64.2%  5458 1697s
   720   424 1595.49143  499   61 4134.70000 1479.80000  64.2%  5454 1701s
   723   426 1598.63949  500   62 4134.70000 1479.80000  64.2%  5451 1705s
   726   429 1594.60000  503   63 4134.70000 1479.80000  64.2%  5444 1711s
   728   429 1594.61081  504   62 4134.70000 1479.80000  64.2%  5447 1715s
   731   430 1597.84764  506   61 4134.70000 1479.80000  64.2%  5459 1721s
   734   431 1595.71053  507   62 4134.70000 1479.80000  64.2%  5463 1727s
   737   433 1597.41951  510   62 4134.70000 1479.80000  64.2%  5459 1731s
   740   435 1596.70000  512   62 4134.70000 1479.80000  64.2%  5450 1735s
   742   436 1596.70000  513   62 4134.70000 1479.80000  64.2%  5460 1741s
   743   436 1602.59402  513   60 4134.70000 1479.80000  64.2%  5476 1745s
   745   436 1608.97365  514   61 4134.70000 1479.80000  64.2%  5489 1750s
   748   438 1601.88751  517   61 4134.70000 1479.80000  64.2%  5490 1758s
   750   439 1599.48606  518   61 4134.70000 1479.80000  64.2%  5489 1762s
   753   441 1598.91891  520   62 4134.70000 1479.80000  64.2%  5482 1766s
   755   442 1597.54763  521   64 4134.70000 1479.80000  64.2%  5488 1771s
   756   442 1602.22812  521   62 4134.70000 1479.80000  64.2%  5501 1775s
   758   443 1602.34873  523   62 4134.70000 1479.80000  64.2%  5505 1780s
   761   445 1606.91326  524   62 4134.70000 1479.80000  64.2%  5507 1785s
   763   445 1600.19418  525   61 4134.70000 1479.80000  64.2%  5514 1790s
   767   448 1598.80000  528   64 4134.70000 1479.80000  64.2%  5509 1797s
   769   448 1599.22930  529   62 4134.70000 1479.80000  64.2%  5514 1800s
   772   449 1602.85182  531   62 4134.70000 1479.80000  64.2%  5522 1808s
   774   451 1600.20000  533   65 4134.70000 1479.80000  64.2%  5518 1810s
   776   451 1603.76625  534   61 4134.70000 1479.80000  64.2%  5531 1816s
   780   454 1600.90000  537   61 4134.70000 1479.80000  64.2%  5518 1821s
   781   454 1601.64432  538   60 4134.70000 1479.80000  64.2%  5522 1827s
   784   456 1601.60000  540   62 4134.70000 1479.80000  64.2%  5516 1831s
   788   458 1602.30000  543   68 4134.70000 1479.80000  64.2%  5504 1835s
   792   460 1602.38597  546   61 4134.70000 1479.80000  64.2%  5496 1841s
   796   464 1603.00000  550   61 4134.70000 1479.80000  64.2%  5482 1845s
   800   466 1603.70000  553   64 4134.70000 1479.80000  64.2%  5473 1850s
   803   466 1603.77580  554   61 4134.70000 1479.80000  64.2%  5475 1856s
   806   467 1614.59747  556   63 4134.70000 1479.80000  64.2%  5487 1863s
   808   468 1605.27214  558   60 4134.70000 1479.80000  64.2%  5483 1866s
   809   468 1605.29179  558   59 4134.70000 1479.80000  64.2%  5489 1870s
